,region,day_of_week,hour,pred_demand,actual_demand,start_lat,start_lng
670,4,Sunday,22,302.93764310442833,149.0,59.421097579365075,24.800557665573976
225,1,Sunday,9,311.00737968609826,85.0,59.40216358530276,24.648134691357036
224,1,Sunday,8,310.85035212742065,126.0,59.406289805429665,24.645007475478277
223,1,Sunday,7,307.0760060830463,129.0,59.401490567263636,24.646976241994153
222,1,Sunday,6,304.47520714229944,165.0,59.399953410238375,24.646064905464534
221,1,Sunday,5,302.9657891579908,114.0,59.40030024377254,24.646927414546077
219,1,Sunday,3,299.27738169629805,29.0,59.39996860916042,24.646907984225283
218,1,Sunday,2,298.07942951771383,32.0,59.40209903835469,24.641633416436132
217,1,Sunday,1,298.42677813926883,51.0,59.405927853006716,24.64331753541348
216,1,Sunday,0,293.18707837712566,84.0,59.3981246429856,24.652115286464237
75,0,Sunday,3,336.33000135107267,238.0,59.43487329324812,24.749386916800447
656,4,Sunday,8,280.6206699826185,116.0,59.4259106364093,24.803210727826173
669,4,Sunday,21,302.56320844513607,144.0,59.42320590964604,24.80020900336502
655,4,Sunday,7,279.757556402254,124.0,59.42811205636903,24.80006886210142
508,3,Sunday,4,305.92949946190566,46.0,59.45757029104031,24.86982793073058
653,4,Sunday,5,277.12871707767033,91.0,59.42977184660123,24.801500174231073
527,3,Sunday,23,345.8879148680038,76.0,59.47022466987727,24.86130876234442
72,0,Sunday,0,331.4608718142967,588.0,59.43599249740685,24.748927909812576
73,0,Sunday,1,333.30570401292124,500.0,59.436103195922705,24.748389774954912
95,0,Sunday,23,372.24522586215755,719.0,59.43582066039335,24.748487280072688
94,0,Sunday,22,370.03064788995187,849.0,59.435073231249184,24.749783505653326
93,0,Sunday,21,368.09389914968637,726.0,59.434841135434475,24.749544161102595
92,0,Sunday,20,366.71199326270477,651.0,59.435511464741865,24.750927220239678
91,0,Sunday,19,364.3964601905754,346.0,59.434862101114575,24.75093322177329
90,0,Sunday,18,362.53630463890255,343.0,59.43393292610322,24.749964500453782
89,0,Sunday,17,360.65559344097284,347.0,59.433980244311726,24.750140879295422
88,0,Sunday,16,354.81012941046646,590.0,59.43331839322097,24.750882456780175
87,0,Sunday,15,357.1582561538196,539.0,59.43386650160768,24.75071001973744
86,0,Sunday,14,355.1643617128928,509.0,59.433467792415414,24.75183662608237
85,0,Sunday,13,353.7388633151986,482.0,59.43401121175776,24.751566786144974
84,0,Sunday,12,345.3633461001802,415.0,59.43287895318014,24.7517405608165
83,0,Sunday,11,348.8683259710407,296.0,59.432991461848694,24.75143585229681
82,0,Sunday,10,338.99331391589345,302.0,59.433268830396614,24.75196953706602
81,0,Sunday,9,338.1290089534656,312.0,59.43448318658461,24.751544680922947
80,0,Sunday,8,344.9829474873483,394.0,59.43389437520008,24.75048905439518
79,0,Sunday,7,339.38283203908856,527.0,59.43323562861957,24.750235596304933
78,0,Sunday,6,340.80200077400303,404.0,59.433052860904816,24.750015639084623
77,0,Sunday,5,338.9979807998951,269.0,59.43328948562593,24.750859348265546
76,0,Sunday,4,338.15592208720994,178.0,59.435272412578826,24.74935398993344
526,3,Sunday,22,339.97446825754747,111.0,59.46340245977169,24.85719095750717
654,4,Sunday,6,277.6195669010827,148.0,59.4273446151415,24.80192991232937
525,3,Sunday,21,340.8656041787723,99.0,59.46976249984858,24.854634062824825
523,3,Sunday,19,334.5750988119663,69.0,59.46277688627968,24.864517617418212
652,4,Sunday,4,276.899360543289,48.0,59.43328482575864,24.80200709541235
651,4,Sunday,3,270.78684770687045,33.0,59.42335990379537,24.807502675793614
650,4,Sunday,2,268.3714917248102,38.0,59.42287864113445,24.801615890740106
649,4,Sunday,1,270.2971146359225,27.0,59.430455119652606,24.800762081282098
648,4,Sunday,0,242.42324046220577,58.0,59.4250867172746,24.800591004680363
504,3,Sunday,0,301.19538915015744,54.0,59.46320174205617,24.862808161561347
505,3,Sunday,1,296.8954297119141,36.0,59.450078030341615,24.860245747191634
506,3,Sunday,2,303.49275445748145,23.0,59.45960204978255,24.87235818024093
507,3,Sunday,3,306.83181540622377,27.0,59.46381187010251,24.864143330942802
227,1,Sunday,11,315.6497474472164,74.0,59.40437001963082,24.651600924451
509,3,Sunday,5,308.14163840613196,97.0,59.45897701914123,24.86381231590406
510,3,Sunday,6,311.21027065635883,121.0,59.46246333762409,24.859756748215126
511,3,Sunday,7,312.41878108796215,116.0,59.460649564771586,24.862764268313903
512,3,Sunday,8,316.66578894530943,106.0,59.4665741137458,24.861745786263914
513,3,Sunday,9,314.83209019495945,70.0,59.458721970037054,24.85701053919455
514,3,Sunday,10,318.3703186884347,56.0,59.46258377188875,24.856939064885996
516,3,Sunday,12,322.84502665262767,83.0,59.464737973574785,24.860700128947627
517,3,Sunday,13,323.77100922570304,104.0,59.462989894571145,24.85741942623198
518,3,Sunday,14,327.3583321519288,110.0,59.46728834558034,24.856514925311377
519,3,Sunday,15,309.8958025980166,139.0,59.46144045689353,24.85782804104131
520,3,Sunday,16,331.3578366466991,143.0,59.4680363902413,24.858962738336533
521,3,Sunday,17,333.4098911780687,81.0,59.468371462756686,24.859000447720796
522,3,Sunday,18,332.0222004610267,75.0,59.46131585286666,24.858219030917976
524,3,Sunday,20,340.75115331471125,109.0,59.473633842589244,24.854115612207565
228,1,Sunday,12,314.97476323240255,126.0,59.40114786497223,24.642203287560108
515,3,Sunday,11,322.67243674161097,59.0,59.46943744678373,24.851803873849338
230,1,Sunday,14,322.449926964008,148.0,59.40552541034872,24.65197559111587
381,2,Sunday,21,327.63677795926367,262.0,59.41960291826577,24.70647233153826
380,2,Sunday,20,321.51043422761273,253.0,59.421373686018484,24.706013145044295
379,2,Sunday,19,321.5310387572024,158.0,59.41784559651038,24.7084556412188
378,2,Sunday,18,321.3068132550799,210.0,59.41708219872837,24.708200657453645
377,2,Sunday,17,319.5902819759458,249.0,59.416769618098165,24.70822283979941
376,2,Sunday,16,318.9877761130512,383.0,59.41965888208283,24.707959152039678
375,2,Sunday,15,316.70871134477477,359.0,59.41857593716293,24.707869101850804
374,2,Sunday,14,315.27946688714366,337.0,59.41928033273575,24.708074199873728
373,2,Sunday,13,312.0554020393842,302.0,59.416339531385965,24.707487164526654
372,2,Sunday,12,311.10782867880334,291.0,59.417352406175226,24.70891980428814
371,2,Sunday,11,290.8569461689871,167.0,59.41353751476385,24.7074280886945
370,2,Sunday,10,308.02826148730406,177.0,59.41883139287294,24.709563219303632
369,2,Sunday,9,306.46969233706676,196.0,59.41894895332925,24.708942457001083
368,2,Sunday,8,305.7256000006059,308.0,59.42152231064164,24.709328552803456
367,2,Sunday,7,300.17930943983384,369.0,59.4214358505234,24.707636488476236
366,2,Sunday,6,302.85832080238663,309.0,59.42313352275117,24.708850573877992
365,2,Sunday,5,298.7891257705104,205.0,59.41830956953563,24.706373374404496
364,2,Sunday,4,298.03920662407404,118.0,59.420182446348406,24.709637938887415
363,2,Sunday,3,297.21779742158986,84.0,59.42283227992192,24.70418208469344
362,2,Sunday,2,295.9124331666825,84.0,59.42343422170717,24.70863845608857
361,2,Sunday,1,293.8990627170734,104.0,59.42281020984035,24.707532477701246
360,2,Sunday,0,291.4172612334735,129.0,59.42126665740829,24.70824303475737
229,1,Sunday,13,319.38719748255676,123.0,59.40548012279042,24.64568375378425
